CC, methode_BC	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/Axis.java, Axis, equals_Object, 89.0, 3.0, 0.033707865	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/DateAxis.java, DateAxis, previousStandardDate_Date_DateTickUnit, 174.0, 8.0, 0.04597701	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/BorderArrangement.java, BorderArrangement, arrangeNN_BlockContainer_Graphics2D, 61.0, 4.0, 0.06557377	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberAxis.java, NumberAxis, autoAdjustRange, 82.0, 5.0, 0.06097561	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/ValueAxis.java, ValueAxis, setRightArrow_Shape, 371.0, 59.0, 0.15902965	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/LogarithmicAxis.java, LogarithmicAxis, autoAdjustRange, 82.0, 6.0, 0.07317073	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/LogarithmicAxis.java, LogarithmicAxis, zoomRange_double_double, 20.0, 3.0, 0.15	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/LogAxis.java, LogAxis, autoAdjustRange, 43.0, 6.0, 0.13953489	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/SymbolAxis.java, SymbolAxis, autoAdjustRange, 243.0, 33.0, 0.13580246	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java, XYTextAnnotation, equals_Object, 52.0, 4.0, 0.07692308	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryAxis.java, CategoryAxis, equals_Object, 51.0, 4.0, 0.078431375	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/ValueAxis.java, ValueAxis, equals_Object, 60.0, 6.0, 0.1	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, equals_Object, 42.0, 3.0, 0.071428575	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, equals_Object, 39.0, 3.0, 0.07692308	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/Axis.java, Axis, labelAnchorV_AxisLabelLocation, 218.0, 29.0, 0.13302752	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/BorderArrangement.java, BorderArrangement, add_Block_Object, 79.0, 12.0, 0.15189873	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberAxis.java, NumberAxis, estimateMaximumTickLabelHeight_Graphics2D, 11.0, 3.0, 0.27272728	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java, CategoryLineAnnotation, equals_Object, 33.0, 3.0, 0.09090909	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/MarkerAxisBand.java, MarkerAxisBand, equals_Object, 33.0, 3.0, 0.09090909	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/date/SerialDate.java, SerialDate, , 21.0, 3.0, 0.14285715	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/AbstractBlock.java, AbstractBlock, equals_Object, 56.0, 6.0, 0.10714286	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java, XYLineAnnotation, equals_Object, 37.0, 4.0, 0.10810811	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java, XYTitleAnnotation, equals_Object, 37.0, 4.0, 0.10810811	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryAxis.java, CategoryAxis, configure, 5.0, 2.0, 0.4	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java, XYTitleAnnotation, setMaxHeight_double, 102.0, 16.0, 0.15686275	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, equals_Object, 42.0, 6.0, 0.14285715	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryLabelPosition.java, CategoryLabelPosition, equals_Object, 34.0, 4.0, 0.11764706	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/DateAxis.java, DateAxis, equals_Object, 34.0, 4.0, 0.11764706	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/GridArrangement.java, GridArrangement, arrangeNN_BlockContainer_Graphics2D, 214.0, 46.0, 0.21495327	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/AxisSpace.java, AxisSpace, ensureAtLeast_double_RectangleEdge, 31.0, 4.0, 0.12903225	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/SubCategoryAxis.java, SubCategoryAxis, getMaxDim_Graphics2D_RectangleEdge, 26.0, 6.0, 0.23076923	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/BlockContainer.java, BlockContainer, equals_Object, 23.0, 2.0, 0.08695652	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryAxis.java, CategoryAxis, clearCategoryLabelURLs, 265.0, 93.0, 0.3509434	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/LineBorder.java, LineBorder, draw_Graphics2D_Rectangle2D, 45.0, 4.0, 0.08888889	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java, XYDrawableAnnotation, equals_Object, 40.0, 6.0, 0.15	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultValueAxisEditor.java, DefaultValueAxisEditor, actionPerformed_ActionEvent, 28.0, 3.0, 0.10714286	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java, XYDataImageAnnotation, equals_Object, 39.0, 6.0, 0.15384616	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/TextAnnotation.java, TextAnnotation, equals_Object, 35.0, 5.0, 0.14285715	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/LabelBlock.java, LabelBlock, equals_Object, 35.0, 5.0, 0.14285715	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java, CategoryTextAnnotation, equals_Object, 27.0, 3.0, 0.11111111	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/AxisSpace.java, AxisSpace, equals_Object, 27.0, 3.0, 0.11111111	
